Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions (weighted  —  Likes 1x Comments 1x ),Overperforming Score
Nike,nike,283201328,2023-04-03 00:00:44 CDT,2023-04-03,00:00:44,Album,"304,275",303027,1248,0,false,https://www.instagram.com/p/Cqj74pcOkok/,https://www.instagram.com/p/Cqj74pcOkok/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/339451521_1150600825634908_4741880884927458417_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4vMUtAK9VX8AX886oZs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAFmqgfVoSIIMmBNxMqISOpQfZ1VBuUSCj1gVx-avfang&oe=64A1B84E,,"Never Before. Forever After.

Introducing the 2023 Nike National Team Home Kits, featuring revolutionary innovation, debuting the next generation of Dri-FIT ADV, tuned specifically to her unique needs. 🏃🏆⚽ 🌏

On pitch in the coming days, then on the world stage this July. Go follow “football” in the Nike App to find out when yours will be available. 👀  #nikefc",,,,"304,275",1.72
Nike,nike,298349561,2023-06-17 19:37:39 CDT,2023-06-17,19:37:39,Photo,"298,347",297689,658,0,false,https://www.instagram.com/p/CtnKMXPpwmu/,https://www.instagram.com/p/CtnKMXPpwmu/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/354410929_649672503336015_3273642783738161142_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=kRLWrRsDe2wAX8pm4lD&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDmm5iHeQP_iR6H5VIIq9v7WCZCkeK8XE4HweL1H284fQ&oe=64A0EE5B,,"@vinijr @cbf_futebol, we stand with you to create the change we all want to see.

Muda o Futebol.
Muda o Mundo.

@vinijr e @cbf_futebol, estamos com vocês para criar a mudança que todos nós queremos ver.",Gee si8: REHARLISON BCHARL ISON 9 VIN Change ChangeFootball. Football. Change ChangetheWorld the World.,,,"298,347",-1.44
Nike,nike,249522075,2022-11-18 14:00:55 CST,2022-11-18,14:00:55,Album,"291,075",288736,2339,0,false,https://www.instagram.com/p/ClHWy3yvzUY/,https://www.instagram.com/p/ClHWy3yvzUY/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/316364209_209177798191389_6133422885555941410_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OkeC39wBlNYAX-n6Pfm&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCPpMUwsbCPiquq2pAG8D-av4TAFmh7B0lrfClrCVuWWg&oe=64A1CEDE,,"Ready to rep your country’s colors and meet @virgilvandijk?

Jump into NIKELAND on @roblox to enter the ultimate football tournament: The Nike Cup Clash 🏆⚽️

Tap the @nike 🔗 in bio to learn more.",,,,"291,075",1.53
Nike,nike,241058114,2022-10-13 11:24:10 CDT,2022-10-13,11:24:10,Album,"286,852",283773,3079,1583615,false,https://www.instagram.com/p/CjqRXxULvwF/,https://www.instagram.com/p/CjqRXxULvwF/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/311206705_5631621796923803_9218472628061563021_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=FIa9qPbg0z4AX_x-zre&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDkbtaMzpegbNb7BJbrKQyOi36ICjUttE-K9TPHBZ1fpg&oe=64A289BA,,"Join Forces with Memphis Jookin.
 
“When we would dance around each other the style got better, everybody got better, and it made us realize the more we could find ways to work together the better for all of us.” 
- @drrico
 
Tap the @Nike 🔗 in bio to see how Memphis Jookin comes together in Air Force 1. #AF1JoinForces",,,,"286,852",1.5
Nike,nike,235481165,2022-08-29 21:10:31 CDT,2022-08-29,21:10:31,Album,"281,834",280457,1377,0,false,https://www.instagram.com/p/Ch3cs_ILylE/,https://www.instagram.com/p/Ch3cs_ILylE/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/302103439_190550836726415_7625411935364621578_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DQpA1H4jeiwAX-2GHxK&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCDLQykaNNveiSl6bn3K_7W7YuM65OQl-ujRu5yACXeSA&oe=64A285F7,,"It’s no secret that Serena slays both on and off the 🎾 court. When it came to tonight's winning look the queen of the court wanted something that embodied the fiery boldness she always serves.

Serena worked with our design team on a final tournament look that would keep her feeling comfortable and confident ✨ Her custom NikeCourt Flare 2s are just as brilliant as her 💎 With diamond-encrusted swooshes and @serenawilliamsjewelry deubrés on the laces that read “mama” and “queen”. Paired with an embellished bodice and tutu skirt inspired by the night sky above center court in Flushing, NY - this look puts her in the spotlight all while allowing her the freedom to make her masterful moves 💥",,,,"281,834",1.38
Nike,nike,226654902,2022-06-29 07:59:27 CDT,2022-06-29,07:59:27,Album,"277,454",275778,1676,279637,false,https://www.instagram.com/p/CfY9ruvrUsj/,https://www.instagram.com/p/CfY9ruvrUsj/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/290769760_119629617443202_4339232533162821011_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mam1zguul50AX85LQzN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCifWJtGk0gGA8V1Ae1KR83cDQuWIu53IYJ_6GOuoAxjQ&oe=64A247B7,,"Introducing @Nike x @Jacquemus: Runway to Sport.

“I wanted to create a collection that reinterprets athletic women’s sportswear in a minimal way. It was [also] important for the collection to be accessible for all bodies, ...and to be a natural blend of Jacquemus' distinct, tailored style and Nike performance.” - @Jacquemus 

Nike x Jacquemus will be available across Nike.com + SNKRS in select regions starting July 7.",,,,"277,454",1.24
Nike,nike,243898711,2022-10-25 11:02:33 CDT,2022-10-25,11:02:33,Album,"273,111",271183,1928,1457053,false,https://www.instagram.com/p/CkJIcC1Jy9J/,https://www.instagram.com/p/CkJIcC1Jy9J/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/312487986_1054449555202502_501182810399266863_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=h9SCcryr9HIAX8hNgKy&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBr4AkG3kIl1CbAZlIcXRwtxF_biRqNsNCpJhyGsE_nLQ&oe=64A2ACA1,,"Join Forces with So Dope Dance Academy 🤝
 
“You can't beat the swag of an Air Force 1. In terms of the whole crew looking like one, the Air Force 1 makes sense. I think that's why dancers resonate with it so much. It's just too much sauce.” - @tarryn_tnt
 
Tap the 🔗 in @nike bio to see how So Dope Dance Academy comes together in Air Force 1. #AF1JoinForces",,,,"273,111",1.44
Nike,nike,240197313,2022-10-06 11:27:49 CDT,2022-10-06,11:27:49,Album,"267,976",265561,2415,197165,false,https://www.instagram.com/p/CjYQOejr8Sj/,https://www.instagram.com/p/CjYQOejr8Sj/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310615660_478398071018716_1583755518383602047_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3trjAmTQF3sAX8Ee1Eo&_nc_oc=AQnzwegvi0z3iQkm_vsU5SwO19bmZBSkRAxmme_yYVMSIodLXeoLulp4yoHdU8_bMq0&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBVpXzt-QhYIHqsnlC3znKWiNjuzxZKpw30o-LSgqqUrA&oe=649E8BE6,,"A two-time MVP and one of the best shooters in basketball history, WNBA star @De11eDonne is a confirmed legend of the game. She's also a fierce advocate for inclusivity, that’s why she is creating more space in the game with the Nike Air Deldon.

The Nike Air Deldon's six colorways represent the most important parts of Elena's journey, including a bright lime colorway that brings awareness to the Lyme disease she has battled throughout her career. 

Join Elena in raising the game with the Nike Air Deldon. 💚🏀",,,,"267,976",1.4
Nike,nike,288509792,2023-04-19 11:59:02 CDT,2023-04-19,11:59:02,Album,"263,912",262249,1663,0,false,https://www.instagram.com/p/CrOazoau8GD/,https://www.instagram.com/p/CrOazoau8GD/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/341867850_1258195971770763_2504555889070947562_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2xe-j8WOVy8AX_QgNCj&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBKRpqtwLAS-a0Xez1dcsgT6I-KC5kfZwh4Bwtlog9jRA&oe=64A26C0F,,"In Spring 2023, Nike brought together a collective of powerful, iconic women — including elite athletes, collaborators, Nike trainers and partners in the world of dance, design, style and photography — to celebrate the joy, possibility, freedom and boundless expression that can be found in all forms of movement.

The collective embodies togetherness, strength and attitude. They represent competitive sport, fitness, movement and style. They are soulful, united, and uninhibited.

In collaboration with an incredible creative community, elite athletes, and partners:
 Photography by Renell Medrano @renellaice Styled by Gabriella Karefa-Johnson @gabriellak_j Cinematography by Charlie McHarg @appleshift4 Organic Capture by Maya Spangler @stolenbesos",,,,"263,912",1.5
Nike,nike,259862422,2022-12-29 18:32:35 CST,2022-12-29,18:32:35,Photo,"259,184",255401,3783,0,false,https://www.instagram.com/p/CmxaebWPOK0/,https://www.instagram.com/p/CmxaebWPOK0/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/322914103_1153982228656254_2883340927387999569_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=DyQ-NBqnWwgAX8YyOll&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAfsLKUxB_NT89aJXWNE3fwyy0uKPH47nQA7IsPAt0dOQ&oe=64A28C1C,,Obrigado to the eternal #10 @pele for sharing Joga Bonito with the world,,,,"259,184",-1.7
